year_gtd,country_gtd,incident_ct_total,nkill_total,nkillus_total,nkillter_total,nwound_total,nwoundus_total,nwoundte_total
2018,95,61,137.0,0.0,17.0,246.0,0.0,0.0
2018,97,18,1.0,0.0,0.0,16.0,0.0,0.0
2018,104,6,14.0,0.0,1.0,8.0,0.0,0.0
2018,113,9,49.0,0.0,0.0,81.0,0.0,0.0
2018,120,1,0.0,0.0,0.0,1.0,0.0,0.0
2018,123,17,176.0,0.0,8.0,6.0,0.0,0.0
2018,137,8,15.0,0.0,0.0,11.0,0.0,0.0
2018,138,7,2.0,0.0,0.0,4.0,0.0,0.0
2018,141,5,0.0,0.0,0.0,2.0,0.0,0.0
2018,143,2,0.0,0.0,0.0,0.0,0.0,0.0
2018,145,1,5.0,0.0,0.0,5.0,0.0,0.0
2018,146,4,25.0,0.0,0.0,6.0,0.0,0.0
2018,147,193,896.0,0.0,30.0,276.0,0.0,0.0
2018,153,20,14.0,0.0,1.0,22.0,0.0,0.0
2018,155,1,0.0,0.0,0.0,0.0,0.0,0.0
2018,160,19,4.0,0.0,0.0,16.0,0.0,0.0
2018,167,3,4.0,0.0,4.0,5.0,0.0,1.0
2018,173,2,2.0,0.0,0.0,2.0,0.0,0.0
2018,182,24,212.0,0.0,30.0,245.0,0.0,1.0
2018,183,1,0.0,0.0,0.0,0.0,0.0,0.0
2018,195,5,2.0,0.0,0.0,17.0,0.0,0.0
2018,200,26,413.0,0.0,85.0,288.0,0.0,0.0
2018,205,36,0.0,0.0,0.0,22.0,0.0,0.0
2018,208,2,0.0,0.0,0.0,0.0,0.0,0.0
2018,209,6,6.0,0.0,0.0,73.0,0.0,0.0
2018,217,5,2.0,2.0,0.0,0.0,0.0,0.0
2018,228,11,1.0,0.0,0.0,11.0,0.0,0.0
2018,229,27,68.0,0.0,3.0,30.0,0.0,0.0
2018,603,6,0.0,0.0,0.0,0.0,0.0,0.0
